entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_PFDUUKDQEHURQC-ZETCQYMHSA-N,3-O-Methyl-a-methyldopa,3-O-Methyl-a-methyldopa | 3-O-Methyldopa,PFDUUKDQEHURQC-ZETCQYMHSA-N,C10H13NO4,3,3,3,0,9.833279423,9.046324417,15.80151503,0.0164,ACS1517 | MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_SPJFYYJXNPEZDW-FTJOPAKQSA-N,LysoPC(18:2),"LysoPC(18:2) | LPC 18:2 | LysoPC(18:2(9Z,12Z)/0:0)",SPJFYYJXNPEZDW-FTJOPAKQSA-N,C26H50NO7P,3,3,3,0,0.6062851393333333,0.23878686,1.485426827,0.00552,29518718 | 37755270 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N,Docosahexaenoic Acid,Docosahexaenoic Acid | FFA 22:6,MBMBGCFOFBJSGT-KUBAVDMBSA-N,C22H32O2,3,3,0,3,-0.2793838413333333,-0.094010565,0.736965594,0,33485385 | MTBLS11904 | ST003159,Down in PD,1,FALSE,TRUE
IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,Hydrocortisone,Hydrocortisone | Cortisol,JYGXADMDTFJGBT-VWUMJDOOSA-N,C21H30O5,3,3,3,0,0.36466506666666665,0.275007048,0.5959539,0.0165,33485385 | MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_YAMUFBLWGFFICM-PTGWMXDISA-N,LPC 18:1,LPC 18:1 | LysoPC(18:1(9Z)); LysoPC(18:1(11Z)),YAMUFBLWGFFICM-PTGWMXDISA-N,C26H52NO7P,3,3,3,0,0.37649697466666665,0.32998465,0.524499227,4.27e-4,37755270 | 38720721 | ST003159,Up in PD,1,FALSE,TRUE
IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N,Biliverdin,Biliverdin,RCNSAJSGRJSBKK-NSQVQWHSSA-N,C33H34N4O6,3,3,0,3,-0.3751475103333334,-0.333886993,0.514573173,3e-4,33485385 | MTBLS11904 | ST003159,Down in PD,1,FALSE,TRUE
IK_RJZVWDTYEWCUAR-JOCHJYFZSA-N,LPC 15:0,LPC 15:0 | PC(15:0/0:0) | LysoPC(15:0/0:0),RJZVWDTYEWCUAR-JOCHJYFZSA-N,C23H48NO7P,3,3,3,0,0.37880764033333336,0.334850352,0.485426827,9.87e-6,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_LSOWKZULVQWMLY-APPDJCNMSA-N,LPC 22:6,"LPC 22:6 | LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",LSOWKZULVQWMLY-APPDJCNMSA-N,C30H50NO7P,3,3,3,0,0.30553333666666666,0.286881148,0.463622457,0.00659,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_YYQVCMMXPIJVHY-ZOIJLGJPSA-N,LPC 20:2,"LPC 20:2 | LysoPC(20:2(11Z,14Z)/0:0)",YYQVCMMXPIJVHY-ZOIJLGJPSA-N,C28H54NO7P,3,3,3,0,0.2854595506666667,0.263034406,0.381837084,0.00732,37755270 | 38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N,Histidine,Histidine | L-Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2,3,3,0,3,-0.10774753766666667,-0.072019401,0.241270432,0.00827,38720721 | MTBLS11904 | ST001814,Down in PD,1,FALSE,TRUE
IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N,Proline,Proline,ONIBWKKTOPOVIA-UHFFFAOYNA-N,C5H9NO2,3,3,3,0,0.10100871833333333,0.067534798,0.189033824,0.0401,33485385 | ST001814 | ST003159,Up in PD,1,FALSE,TRUE
IK_NZKRYJGNYPYXJZ-UHFFFAOYSA-N,Dopamine 3-O-sulfate,"Dopamine 3-O-sulfate | Dopamine 3-O-sulfate2,3",NZKRYJGNYPYXJZ-UHFFFAOYSA-N,C8H11NO5S,2,2,2,0,9.12759539,9.12759539,13.04351745,NA,MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_BXJHWYVXLGLDMZ-UHFFFAOYSA-N,Methylguanine,Methylguanine | 2-Amino-6-methoxypurine,BXJHWYVXLGLDMZ-UHFFFAOYSA-N,C9H11NO2 | C6H7N5O,2,2,2,0,3.9662752175000002,3.9662752175000002,7.910492832,6.28e-8,28880465 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_JQXBETDGCMQLMK-UHFFFAOYSA-N,"3,4-Dihydroxyphenylacetone","3,4-Dihydroxyphenylacetone | 3,4 Dihydroxyphenylacetone",JQXBETDGCMQLMK-UHFFFAOYSA-N,C9H10O3,2,2,2,0,4.054399643,4.054399643,7.702726796,0,28880465 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_GXPIUNZCALHVBA-UHFFFAOYSA-N,Acetyl-sulfamethoxazole,Acetyl-sulfamethoxazole | N4-acetylsulfamethoxazole,GXPIUNZCALHVBA-UHFFFAOYSA-N,C12H13N3O4S,2,2,2,0,4.88708302,4.88708302,7.544578117,0.0196,37755270 | 38720721,Up in PD,1,FALSE,TRUE
IK_JPAUCQAJHLSMQW-XPORZQOISA-N,p-Cresol glucuronide,p-Cresol glucuronide | p-Cresol glucuronide3,JPAUCQAJHLSMQW-XPORZQOISA-N,C13H16O7,2,2,2,0,2.9829892135,2.9829892135,4.861641767,0.0021,33485385 | ST003159,Up in PD,1,FALSE,TRUE
IK_SVYIZYRTOYHQRE-UHFFFAOYSA-N,Vanillactic acid,Vanillactic acid,SVYIZYRTOYHQRE-UHFFFAOYSA-N,C10H12O5,2,2,2,0,4.655941363,4.655941363,4.708998317,6e-4,29518718 | ACS1517,Up in PD,1,FALSE,TRUE
IK_HVYWMOMLDIMFJA-DPAQBDIFSA-N,Cholesterol,Cholesterol,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C27H46O,2,2,2,0,2.3064294025,2.3064294025,4.562486669,0.002,38720721 | ST001814,Up in PD,1,FALSE,TRUE
IK_ONJSZLXSECQROL-UHFFFAOYSA-N,o-Hydroxyhippuric acid,o-Hydroxyhippuric acid | Salicyluric Acid,ONJSZLXSECQROL-UHFFFAOYSA-N,C9H9NO4,2,2,2,0,2.1278358015,2.1278358015,4.118276657,0.011,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_RGHMISIYKIHAJW-UHFFFAOYSA-N,"3,4-Dihydroxymandelic acid","3,4-Dihydroxymandelic acid | 3,4-dihydroxymandelate",RGHMISIYKIHAJW-UHFFFAOYSA-N,C8H8O5,2,2,0,2,-1.888486222,-1.888486222,3.605261981,0.0066,38516193 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_RGHHSNMVTDWUBI-UHFFFAOYSA-N,4-Hydroxybenzaldehyde,4-Hydroxybenzaldehyde | p-Hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C7H6O2,2,2,2,0,1.7751243885,1.7751243885,3.336283388,7e-4,29518718 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_COLNVLDHVKWLRT-QMMMGPOBSA-N,L-Phenylalanine,L-Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,C9H11NO2,2,2,0,2,-1.655486282,-1.655486282,3.229585326,1.4e-6,38516193 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_UHDGCWIWMRVCDJ-XVFCMESISA-N,melatonin,melatonin | Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,C9H13N3O5,2,2,0,2,-1.6304691674999998,-1.6304691674999998,3.109358756,4.4e-7,38516193 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_IGTYILLPRJOVFY-UHFFFAOYSA-N,Paracetamol sulfate,Paracetamol sulfate | acetaminophen sulfate,IGTYILLPRJOVFY-UHFFFAOYSA-N,C8H9NO5S,2,2,2,0,2.106767718,2.106767718,2.558183607,2.8e-5,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine,Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C8H11NO2,2,2,2,0,1.3405900750000002,1.3405900750000002,2.512226887,1.59e-13,38720721 | MTBLS11904,Up in PD,1,FALSE,TRUE
IK_BMLMGCPTLHPWPY-REOHCLBHSA-N,Procysteine,Procysteine | 2-Oxothiazolidine-4-carboxylic acid,BMLMGCPTLHPWPY-REOHCLBHSA-N,C4H5NO3S,2,2,0,2,-1.1976977304999998,-1.1976977304999998,2.190997225,0.00187,38720721 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_HTZINLFNXLXRBC-CQLBIITFSA-N,PC(P-16:0/0:0),PC(P-16:0/0:0) | LysoPC(P-16:0),HTZINLFNXLXRBC-CQLBIITFSA-N,C24H50NO6P,2,2,2,0,1.0514899,1.0514899,1.89645553,NA,MTBLS11904 | ST003159,Up in PD,1,FALSE,TRUE
IK_RYYVLZVUVIJVGH-UHFFFAOYSA-N,Caffeine,Caffeine | Caffine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C8H10N4O2,2,2,0,2,-1.4339772014999999,-1.4339772014999999,1.787866492,1.6e-4,38720721 | ACS1517,Down in PD,1,FALSE,TRUE
IK_CTYRPMDGLDAWRQ-UHFFFAOYSA-N,Phenol sulphate,Phenol sulphate | Phenol sulfate,CTYRPMDGLDAWRQ-UHFFFAOYSA-N,C6H6O4S,2,2,0,2,-0.9108864795,-0.9108864795,1.689659879,5.33e-5,37755270 | MTBLS11904,Down in PD,1,FALSE,TRUE
IK_AEMOLEFTQBMNLQ-QIUUJYRFSA-N,Beta-D-Glucopyranuronic acid,Beta-D-Glucopyranuronic acid | b-D-Glucopyranuronic acid,AEMOLEFTQBMNLQ-QIUUJYRFSA-N,C6H10O7,2,2,0,2,-0.980898964,-0.980898964,1.64385619,NA,24167579 | MTBLS11904,Down in PD,1,FALSE,TRUE
